ApplStandard,MEPSComp,N-Standard,Model_No,Family Name,avg_pwr_standby_mode,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration2-unitmount,Configuration3_Sink,Configuration3_Source,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,Depth,H2_COP,H2_HeatPwrCapacity,H2_HeatPwrInput,Height,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Setting_cool,Setting_heat,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,eermepslev,TestedOutputEER,TestedOutputCOP,AnnualOutputEER,AnnualOutputCOP,PL_EERMEPS,PL_COPMEPS,sri2010_cool,sri2010_heat,Star2010_Cool,Star2010_Heat,outdoortype,Phase,Refrigerant,Sold_in,Submit_ID,ExpDate,GrandDate,SubmitStatus,Type,Width,Product Class,Demand Response 1,Demand Response 2,Demand Response 4,Demand Response 5,Demand Response 6,Demand Response 7,PartNumber,EER,Availability Status,star2000_cool,star2000_heat,Product Website,Representative Brand URL,Variable Output Compressor,Star Image Large,Star Image Small
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,TWS36HFBMJBB/TSO36HFBMJBB,,,TECO,0.48,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.92,3.14,3.62,225.0,,,,292.0,0.88,3.34,Calorimeter Room,3.942,3.783,False,,,0.7,0.7,0.0,0.0,,,,3.9322050086502,3.77332461899259,,,3.3644100173004,3.04664923798518,3.0,3.0,Calorimeter Room,Single,R410A,"Australia,New Zealand",66335,2017-06-25,,Approved,Reverse Cycle,920.0,Class 3,False,,False,False,False,False,,3.942,Unavailable,,,,http://www.teco.com.au,False,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_3_3.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,TWS41HVBMHBC/TSO41HVBMHBC,,,TECO,0.89,Non Ducted,Single Split System,Wall Hung,Air,Air,China,1.3,3.21,4.1,225.0,,,,292.0,1.31,4.2,Calorimeter Room,3.304,3.527,True,76.1,,1.0,6.43,3.78966131907308,4.05243445692884,,,,3.29475393809426,3.46575832366382,,,2.08950787618852,2.43151664732764,2.0,2.0,Calorimeter Room,Single,R410A,"Australia,New Zealand",66338,2017-06-26,,Approved,Reverse Cycle,920.0,Class 4,False,,False,False,False,False,,3.304,Unavailable,,,,http://www.teco.com.au,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2_2.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,TWS50HVBMHBC/TSO50HVBMHBC,,,TECO,1.3,Non Ducted,Single Split System,Wall Hung,Air,Air,China,1.6,3.7,5.0,225.0,,,,292.0,1.7,5.3,Calorimeter Room,3.251,3.203,True,62.8,,1.0,6.43,4.08295625942685,4.42078364565588,,,,3.2444091706243,3.16194143914114,,,1.98881834124861,1.82388287828229,1.5,1.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",66339,2017-06-26,,Approved,Reverse Cycle,920.0,Class 4,False,,False,False,False,False,,3.251,Unavailable,,,,http://www.teco.com.au,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_1.5_1.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,TWS51HFBMJBB/TSO51HFBMJBB,,,TECO,0.93,Non Ducted,Single Split System,Wall Hung,Air,Air,China,1.52,4.12,5.05,228.0,,,,330.0,1.58,5.27,Calorimeter Room,3.314,3.339,False,,,0.7,0.7,0.0,0.0,,,,3.30916700188552,3.33361614723883,,,2.11833400377105,2.16723229447766,2.0,2.0,Calorimeter Room,Single,R410A,"Australia,New Zealand",66340,2017-06-26,,Approved,Reverse Cycle,1080.0,Class 4,False,,False,False,False,False,,3.314,Unavailable,,,,http://www.teco.com.au,False,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2_2.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,TWS61HVBMHBC/TSO61HVBMHBC,,,TECO,1.4,Non Ducted,Single Split System,Wall Hung,Air,Air,China,1.98,4.7,6.1,228.0,,,,330.0,2.1,6.7,Calorimeter Room,3.127,3.242,True,69.1,,1.0,6.43,3.78810408921933,4.34478527607362,,,,3.12134852010283,3.20812543413089,,,1.74269704020565,1.91625086826178,1.5,1.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",66342,2017-06-26,,Approved,Reverse Cycle,1080.0,Class 4,False,,False,False,False,False,,3.127,Unavailable,,,,http://www.teco.com.au,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_1.5_1.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,TWS63HFBMJBB/TSO63HFBMJBB,,,TECO,1.62,Non Ducted,Single Split System,Wall Hung,Air,Air,China,1.89,4.67,6.29,228.0,,,,330.0,2.05,6.92,Calorimeter Room,3.327,3.381,False,,,0.7,0.7,0.0,0.0,,,,3.32265394012568,3.37751042070641,,,2.14530788025136,2.25502084141282,2.0,2.0,Calorimeter Room,Single,R410A,"Australia,New Zealand",66343,2017-06-26,,Approved,Reverse Cycle,1080.0,Class 4,False,,False,False,False,False,,3.327,Unavailable,,,,http://www.teco.com.au,False,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2_2.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,TWS72HFBMJBB/TSO72HFBMJBB,,,TECO,0.77,Non Ducted,Single Split System,Wall Hung,Air,Air,China,2.15,6.46,7.23,250.0,,,,325.0,2.19,7.49,Calorimeter Room,3.356,3.417,False,,,0.7,0.7,0.0,0.0,,,,3.35193561760851,3.41309831709155,,,2.20387123521703,2.32619663418309,2.0,2.0,Calorimeter Room,Single,R410A,"Australia,New Zealand",66345,2017-06-27,,Approved,Reverse Cycle,1250.0,Class 4,False,,False,False,False,False,,3.356,Unavailable,,,,http://www.teco.com.au,False,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2_2.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,TWS72HVBMJBB/TSO72HVBMJBB,,,TECO,2.05,Non Ducted,Single Split System,Wall Hung,Air,Air,China,2.18,5.18,7.23,250.0,,,,325.0,2.25,7.52,Calorimeter Room,3.366,3.383,True,100.0,,1.0,6.43,0.0,0.0,,,,3.36063363980329,3.3503531630246,,,2.22126727960658,2.20070632604921,2.0,2.0,Calorimeter Room,Single,R410A,"Australia,New Zealand",66346,2017-07-01,,Approved,Reverse Cycle,1250.0,Class 4,False,,False,False,False,False,,3.366,Unavailable,,,,http://www.teco.com.au,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2_2.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,TWS81HVBMHBC/TSO81HVBMHBC,,,TECO,2.11,Non Ducted,Single Split System,Wall Hung,Air,Air,China,2.62,6.04,8.15,340.0,,,,258.0,2.42,8.1,Calorimeter Room,3.168,3.425,True,74.2,,1.0,6.43,3.83501683501684,0.0,,,,3.16466875033597,3.39384880707073,,,1.82933750067194,2.28769761414145,1.5,2.0,Calorimeter Room,Single,R410A,"Australia,New Zealand",66348,2017-06-27,,Approved,Reverse Cycle,1186.0,Class 4,False,,False,False,False,False,,3.168,Unavailable,,,,http://www.teco.com.au,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_1.5_2.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,PRO-70T,,,PROMA,0.15,Non Ducted,Single Split System,Wall Hung,Air,Air,China,2.1,6.85,7.0,,,,,,2.1,7.0,Calorimeter Room,3.3,3.383,False,100.0,,9.0,9.0,0.0,0.0,,,,3.25350161895415,3.33424124879075,,,2.00700323790829,2.1684824975815,2.0,2.0,Calorimeter Room,Single,R410A,Australia,66349,2017-10-25,,Approved,Reverse Cycle,,Class 4,False,,False,False,False,False,,3.3,Unavailable,,,,http://none,False,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2_2.png
